http,180.167.238.98:7302,100
http,123.128.12.93:9050,80
http,112.86.55.143:81,88
http,122.224.56.198:7302,89
http,115.239.234.43:7302,100
http,8.146.207.243:8888,99
http,139.196.156.220:8888,87
http,47.98.100.134:80,100
http,203.74.125.18:8888,91
http,61.160.223.141:7302,94
http,218.75.102.198:8000,77
http,61.79.72.201:80,95
http,59.49.79.173:8089,100
http,221.178.239.200:7302,100
http,45.91.201.100:8082,69
http,18.143.173.102:21681,86
http,16.163.88.228:80,100
http,152.53.194.55:11724,72
http,37.120.162.180:22599,69
http,152.53.194.55:42697,75
http,152.53.194.46:8065,86
http,157.180.121.252:53375,75
http,157.180.121.252:51232,77
http,47.91.65.12:80,100
http,104.222.32.98:80,83
http,157.180.121.252:11080,73
http,157.180.121.252:45678,73
http,81.169.213.169:8888,89
http,157.180.121.252:52239,79
http,84.39.112.144:3128,92
http,65.108.251.40:33826,69
http,23.237.210.82:80,100
http,87.239.31.42:80,99
http,157.180.121.252:39611,71
http,103.138.113.182:10001,100
http,59.7.246.4:80,83
http,65.108.251.40:11107,81
http,51.254.78.223:80,94
http,157.180.121.252:37878,73
http,103.175.240.161:3127,67
http,103.138.145.34:80,100
http,59.153.100.98:80,100
http,51.15.228.52:8080,95
http,40.172.232.213:29214,79
http,182.155.254.159:80,90
http,108.141.130.146:80,100
http,157.180.121.252:42217,77
http,95.66.244.250:8080,71
http,46.35.9.110:80,89
http,103.118.46.176:8080,85
http,41.92.157.70:8080,85
http,185.126.202.76:4005,68
http,138.68.60.8:3128,99
http,185.17.153.178:8080,95
http,39.101.161.223:8090,99
http,123.141.181.8:5031,92
http,45.22.209.157:8888,97
http,103.86.109.38:80,99
http,207.244.254.27:7003,67
http,14.29.236.128:7897,96
http,158.255.77.169:80,100
http,203.95.198.167:8080,75
http,79.110.202.131:8081,98
http,142.93.202.130:3128,94
http,119.148.55.91:1419,67
http,124.108.6.20:8085,99
http,45.146.163.31:80,83
http,222.59.173.105:45026,81
http,47.105.122.72:80,100
http,120.26.52.35:8080,100
http,102.132.36.145:8080,98
http,47.119.164.33:6379,100
http,47.121.182.36:8008,100
http,194.39.254.35:80,100
http,23.247.136.248:80,83
http,121.43.146.222:8081,100
http,39.104.16.201:9080,100
http,39.101.65.228:8499,100
http,185.88.177.197:8081,83
http,139.162.78.109:80,100
http,158.255.77.166:80,97
http,47.251.73.54:1081,100
http,39.101.65.228:7777,100
http,47.238.134.126:80,100
http,203.19.38.114:1080,97
http,221.153.92.39:80,92
http,123.128.12.93:9055,81
http,23.247.136.254:80,99
http,47.116.210.163:5060,100
http,8.212.151.166:9080,100
http,222.59.173.105:45207,83
http,47.238.134.126:8080,100
http,222.59.173.105:45115,89
http,47.238.134.126:8081,100
http,83.168.74.163:8080,96
http,222.59.173.105:45001,81
http,79.110.202.184:8081,97
http,87.250.60.66:8080,95
http,47.116.210.163:8081,100
http,65.108.203.35:18080,90
http,120.26.104.146:1111,100
http,222.59.173.105:45104,91
http,8.138.82.6:8443,100
http,222.59.173.105:45053,93
http,203.95.196.72:8080,73
http,222.59.173.105:45192,85
http,8.220.205.172:9080,100
http,47.119.22.92:12000,100
http,114.80.32.8:3081,71
http,209.97.150.167:8080,100
http,222.59.173.105:45250,77
http,109.198.107.237:3128,89
http,222.59.173.105:45012,79
http,45.239.175.60:8080,89
http,222.59.173.105:45189,87
http,8.221.139.222:8081,99
http,122.116.125.115:8888,93
http,61.49.87.3:80,95
http,222.59.173.105:45248,87
http,185.162.60.46:8080,95
http,138.68.60.8:8080,83
http,119.148.55.89:1419,67
http,198.199.86.11:80,100
http,222.59.173.105:45021,93
http,43.156.33.112:8888,83
http,123.141.181.53:5031,89
http,212.127.95.235:8081,99
http,222.59.173.105:45094,80
http,109.197.153.25:8888,90
http,80.211.202.138:8118,71
http,159.65.245.255:80,100
http,103.60.204.18:80,92
http,203.95.199.159:8080,94
http,38.65.174.107:999,81
http,123.141.181.54:5031,83
http,47.91.124.149:20000,74
http,90.188.40.191:3128,90
http,58.216.109.17:800,100
http,192.18.151.166:8888,91
http,47.83.192.255:8888,94
http,51.68.224.9:80,95
http,5.161.133.32:80,97
http,125.31.38.242:80,77
http,47.119.180.187:8890,73
http,91.241.217.58:9090,97
http,180.140.124.232:5555,79
http,43.156.183.112:1080,89
http,8.221.139.222:8889,99
http,95.66.138.21:8880,89
http,103.63.190.72:8080,75
http,114.55.246.142:99,83
http,219.79.89.247:8080,69
http,218.77.183.214:5224,99
http,47.98.190.236:8002,79
http,183.215.23.242:9091,100
http,103.154.118.154:57413,71
http,140.82.22.235:34587,69
http,114.80.40.130:3081,71
http,222.59.173.105:45035,87
http,103.97.140.96:8080,69
http,131.100.48.73:999,72
http,102.68.128.214:8080,70
http,3.107.252.199:8099,90
http,190.97.230.105:999,69
http,36.64.214.203:6969,77
http,221.6.139.190:9002,83
http,79.110.200.148:8081,96
http,117.54.114.33:80,95
http,63.141.249.242:8888,78
http,154.0.14.116:3128,78
http,38.183.146.135:8080,75
http,47.56.110.204:8990,97
